Any,Provincia,Comarca,CDMUN,Municipi,Codi_Sector,Descripcio_Sector,Consum [kWh],Observacions
2013,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,1,PRIMARI,237755,
2013,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,3,INDUSTRIAL,66604371,
2013,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,4,CONSTRUCCIO I OBRES PUBLIQUES,710769,
2013,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,5,TRANSPORT,,Dada subjecta a secret estadístic.
2013,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,6,TERCIARI,100629015,
2013,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,7,USOS DOMESTICS,17612504,
2013,BARCELONA,BAGES,08002,AGUILAR DE SEGARRA,1,PRIMARI,38498,
2013,BARCELONA,BAGES,08002,AGUILAR DE SEGARRA,4,CONSTRUCCIO I OBRES PUBLIQUES,,Dada subjecta a secret estadístic.
2013,BARCELONA,BAGES,08002,AGUILAR DE SEGARRA,6,TERCIARI,208725,
2013,BARCELONA,BAGES,08002,AGUILAR DE SEGARRA,7,USOS DOMESTICS,389232,
2013,BARCELONA,MARESME,08003,ALELLA,1,PRIMARI,229764,
2013,BARCELONA,MARESME,08003,ALELLA,3,INDUSTRIAL,396454,
2013,BARCELONA,MARESME,08003,ALELLA,4,CONSTRUCCIO I OBRES PUBLIQUES,288808,
2013,BARCELONA,MARESME,08003,ALELLA,6,TERCIARI,8956974,
2013,BARCELONA,MARESME,08003,ALELLA,7,USOS DOMESTICS,18349612,
2013,BARCELONA,OSONA,08004,ALPENS,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,OSONA,08004,ALPENS,3,INDUSTRIAL,290851,
2013,BARCELONA,OSONA,08004,ALPENS,6,TERCIARI,230212,
2013,BARCELONA,OSONA,08004,ALPENS,7,USOS DOMESTICS,440090,
2013,BARCELONA,VALLES ORIENTAL,08005,"AMETLLA DEL VALLES, L'",1,PRIMARI,300650,
2013,BARCELONA,VALLES ORIENTAL,08005,"AMETLLA DEL VALLES, L'",3,INDUSTRIAL,8433138,
2013,BARCELONA,VALLES ORIENTAL,08005,"AMETLLA DEL VALLES, L'",4,CONSTRUCCIO I OBRES PUBLIQUES,197341,
2013,BARCELONA,VALLES ORIENTAL,08005,"AMETLLA DEL VALLES, L'",6,TERCIARI,12111281,
2013,BARCELONA,VALLES ORIENTAL,08005,"AMETLLA DEL VALLES, L'",7,USOS DOMESTICS,15975998,
2013,BARCELONA,MARESME,08006,ARENYS DE MAR,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,MARESME,08006,ARENYS DE MAR,3,INDUSTRIAL,3868895,
2013,BARCELONA,MARESME,08006,ARENYS DE MAR,4,CONSTRUCCIO I OBRES PUBLIQUES,304388,
2013,BARCELONA,MARESME,08006,ARENYS DE MAR,5,TRANSPORT,,Dada subjecta a secret estadístic.
2013,BARCELONA,MARESME,08006,ARENYS DE MAR,6,TERCIARI,19721051,
2013,BARCELONA,MARESME,08006,ARENYS DE MAR,7,USOS DOMESTICS,20903267,
2013,BARCELONA,MARESME,08007,ARENYS DE MUNT,1,PRIMARI,57880,
2013,BARCELONA,MARESME,08007,ARENYS DE MUNT,3,INDUSTRIAL,6227253,
2013,BARCELONA,MARESME,08007,ARENYS DE MUNT,4,CONSTRUCCIO I OBRES PUBLIQUES,127518,
2013,BARCELONA,MARESME,08007,ARENYS DE MUNT,6,TERCIARI,7293962,
2013,BARCELONA,MARESME,08007,ARENYS DE MUNT,7,USOS DOMESTICS,13776528,
2013,BARCELONA,ANOIA,08008,ARGENÇOLA,1,PRIMARI,59526,
2013,BARCELONA,ANOIA,08008,ARGENÇOLA,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08008,ARGENÇOLA,4,CONSTRUCCIO I OBRES PUBLIQUES,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08008,ARGENÇOLA,6,TERCIARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08008,ARGENÇOLA,7,USOS DOMESTICS,271878,
2013,BARCELONA,MARESME,08009,ARGENTONA,1,PRIMARI,887869,
2013,BARCELONA,MARESME,08009,ARGENTONA,3,INDUSTRIAL,20216558,
2013,BARCELONA,MARESME,08009,ARGENTONA,4,CONSTRUCCIO I OBRES PUBLIQUES,100839,
2013,BARCELONA,MARESME,08009,ARGENTONA,6,TERCIARI,8460170,
2013,BARCELONA,MARESME,08009,ARGENTONA,7,USOS DOMESTICS,18087826,
2013,BARCELONA,BAGES,08010,ARTES,1,PRIMARI,136918,
2013,BARCELONA,BAGES,08010,ARTES,3,INDUSTRIAL,18628731,
2013,BARCELONA,BAGES,08010,ARTES,4,CONSTRUCCIO I OBRES PUBLIQUES,66413,
2013,BARCELONA,BAGES,08010,ARTES,6,TERCIARI,4913912,
2013,BARCELONA,BAGES,08010,ARTES,7,USOS DOMESTICS,8456677,
2013,BARCELONA,BERGUEDA,08011,AVIA,1,PRIMARI,93182,
2013,BARCELONA,BERGUEDA,08011,AVIA,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,BERGUEDA,08011,AVIA,4,CONSTRUCCIO I OBRES PUBLIQUES,33056,
2013,BARCELONA,BERGUEDA,08011,AVIA,6,TERCIARI,1251339,
2013,BARCELONA,BERGUEDA,08011,AVIA,7,USOS DOMESTICS,3527277,
2013,BARCELONA,BAGES,08012,AVINYO,1,PRIMARI,810106,
2013,BARCELONA,BAGES,08012,AVINYO,3,INDUSTRIAL,14305284,
2013,BARCELONA,BAGES,08012,AVINYO,4,CONSTRUCCIO I OBRES PUBLIQUES,4972,
2013,BARCELONA,BAGES,08012,AVINYO,6,TERCIARI,3354343,
2013,BARCELONA,BAGES,08012,AVINYO,7,USOS DOMESTICS,3247849,
